Client Started

Logged in as: mrhellomeo

Chat id: -1002186513225

46607/46607 bytes (100.00%) (utils.py:progress_callback:224)

Response elastic: {'_index': 'telegram_index', '_id': '1542e0d2-8412-4c51-b3b7-f4773d6babd4', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 0, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'e80151db-9b62-4747-9799-b1aacdbebb76', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'd7adee75-51a3-4716-b2dc-d1b142198103', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 2, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '1f482c86-a820-4141-874f-1c4ad7bed15f', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 3, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '35da0f33-194d-4c89-a95f-ebfd34f0e225', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 4, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '077a0c59-63ad-4308-9dc5-2a34b05094ac', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 5, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'e57f7009-cff3-4167-b2b0-7dc44aafcac8', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 6, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'b997aed7-e6ce-4de0-b421-84b44c232b43', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 7, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'bff1be43-3608-4ee1-bac3-298cf10161e5', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 8, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'c2a00383-f57b-4489-b846-61a8568ab14a', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 9, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'dda0de19-29a3-43b2-944a-33821faa1643', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 10, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '301dab9e-4d27-4ab6-b78a-6321641bcb52', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 11, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '93164d02-b404-4de9-b2c4-c0c2e344c75c', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 12, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '267ba91d-5717-4b50-9cdf-d5f8335c0625', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 13, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '4a1d5930-c8cd-4f14-bf24-b7201dd8ac7b', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 14, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '7bae4159-791c-4c5d-94e5-70657e02598f', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 15, '_primary_term': 1} (utils.py:upload_data:268)

